"2014-07-01 01:11:10",EventLogger,log_opened,"Log opened upon Event Logger startup."
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001769,"4200|4"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001775,"4200|5"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001781,"4200|32"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001787,"4200|10"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001793,"4200|13"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001799,"4200|38"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001805,"4200|37"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001811,"4200|23"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001817,"4200|24"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001823,"4200|27"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001829,"4200|29"
"2014-07-01 01:11:40","AIR:401000000","building-cog",401001835,"4200|30|m|3"
"2014-07-01 01:11:40","AIR:401000000","building-cog",401001837,"4200|31|m|3"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001839,"4200|9"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001845,"4200|7"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001851,"4200|12"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001857,"4200|36"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001863,"4200|34"
"2014-07-01 01:11:40","AIR:401000000","building-cog",401001868,"4200|16|m|2"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001870,"4200|19"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001876,"4200|20"
"2014-07-01 01:11:40","AIR:401000000","building-cog",401001882,"4200|22|m|3"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001884,"4200|35"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001890,"4200|25"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001896,"4200|28"
"2014-07-01 01:11:40","AIR:401000000","building-cog",401001902,"4200|33|s|3"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001904,"4200|18"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001910,"4200|17"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001925,"4300|1"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001931,"4300|3"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001937,"4300|20"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001942,"4300|4"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001948,"4300|7"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001954,"4300|21"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001960,"4300|27"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001966,"4300|28"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001972,"4300|9"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001978,"4300|12"
"2014-07-01 01:11:40","AIR:401000000","building-cog",401001983,"4300|17|l|3"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001985,"4300|19"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001991,"4300|29"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401001997,"4300|35"
"2014-07-01 01:11:40","AIR:401000000","building-cog",401002003,"4300|36|l|3"
"2014-07-01 01:11:40","AIR:401000000","building-cog",401002005,"4300|41|c|2"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401002007,"4300|68"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401002012,"4300|38"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401002018,"4300|40"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401002024,"4300|42"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401002030,"4300|49"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401002035,"4300|48"
"2014-07-01 01:11:40","AIR:401000000","building-cog",401002041,"4300|53|c|2"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401002043,"4300|50"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401002049,"4300|52"
"2014-07-01 01:11:40","AIR:401000000","building-cog",401002055,"4300|54|c|3"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401002057,"4300|55"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401002063,"4300|56"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401002068,"4300|72"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401002074,"4300|70"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401002080,"4300|62"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401002086,"4300|67"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401002092,"4300|71"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401002098,"4300|43"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401002103,"4300|44"
"2014-07-01 01:11:40","AIR:401000000","building-toon",401002109,"4300|45"
"2014-07-01 01:11:44","AIR:401000000","building-toon",401002162,"3000|9"
"2014-07-01 01:11:44","AIR:401000000","building-toon",401002188,"3100|1"
"2014-07-01 01:11:44","AIR:401000000","building-toon",401002194,"3100|2"
"2014-07-01 01:11:44","AIR:401000000","building-toon",401002200,"3100|5"
"2014-07-01 01:11:44","AIR:401000000","building-toon",401002205,"3100|7"
